Entidad federativa,2010,2020
Aguascalientes,1184996,1425607
Baja California,3155070,3769020
Baja California Sur,637026,798447
Campeche,822441,928363
Coahuila de Zaragoza,2748391,3146771
Colima,650555,731391
Chiapas,4796580,5543828
Chihuahua,3406465,3741869
Ciudad de México,8851080,9209944
Durango,1632934,1832650
Guanajuato,5486372,6166934
Guerrero,3388768,3540685
Hidalgo,2665018,3082841
Jalisco,7350682,8348151
México,15175862,16992418
Michoacán de Ocampo,4351037,4748846
Morelos,1777227,1971520
Nayarit,1084979,1235456
Nuevo León,4653458,5784442
Oaxaca,3801962,4132148
Puebla,5779829,6583278
Querétaro,1827937,2368467
Quintana Roo,1325578,1857985
San Luis Potosí,2585518,2822255
Sinaloa,2767761,3026943
Sonora,2662480,2944840
Tabasco,2238603,2402598
Tamaulipas,3268554,3527735
Tlaxcala,1169936,1342977
Veracruz de Ignacio de la Llave,7643194,8062579
Yucatán,1955577,2320898
Zacatecas,1490668,1622138
